City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
La Asuncion,67,VE,1601721235,82,11.03,-63.86,80.26,11.99
Lima,90,PE,1601721113,87,-12.04,-77.03,60.8,4.7
Tsarítsani,40,GR,1601721236,54,39.88,22.23,78.8,4.7
Dudinka,40,RU,1601721227,91,69.41,86.18,32.0,24.61
Kāsaragod,40,IN,1601721129,70,12.5,75.0,86.0,10.29
San Jerónimo,38,PE,1601721238,69,-11.95,-75.28,47.19,1.12
Amga,0,RU,1601721227,87,60.9,131.96,29.21,2.62
Vakhrushev,80,RU,1601721238,88,48.98,142.97,56.17,12.66
Inta,96,RU,1601721239,72,66.03,60.17,39.49,14.27
Kilifi,40,KE,1601721088,58,-3.63,39.85,86.0,9.17
Ouadda,72,CF,1601721239,53,8.08,22.4,89.37,2.46
Baykit,100,RU,1601721239,89,61.67,96.37,38.91,5.55
Khovd,0,MN,1601721239,60,48.01,91.64,40.96,3.2
Hokitika,99,NZ,1601720957,89,-42.72,170.97,53.01,1.43
Anadyr,20,RU,1601721113,80,64.75,177.48,33.8,6.71
Richards Bay,100,ZA,1601721115,91,-28.78,32.04,65.48,8.01
Caconda,88,AO,1601721240,24,-13.73,15.07,91.9,2.01
Suleja,76,NG,1601721175,67,9.18,7.18,81.12,5.28
Atambua,83,ID,1601721241,80,-9.11,124.89,74.52,0.56
Kaduqli,29,SD,1601721243,49,11.02,29.72,88.92,5.14
Magistral'nyy,71,RU,1601721243,90,56.17,107.45,29.28,0.89
Pucallpa,1,PE,1601721243,79,-8.38,-74.55,72.09,0.43
Atar,0,MR,1601720942,44,20.52,-13.05,78.8,16.11
Maceió,75,BR,1601721188,78,-9.67,-35.74,77.0,6.93
Pacifica,75,US,1601720986,87,37.61,-122.49,62.6,8.05
Saint-Joseph,75,RE,1601721117,69,-21.37,55.62,78.8,10.29
Te Anau,80,NZ,1601720957,89,-45.42,167.72,50.4,10.09
Berdigestyakh,13,RU,1601721245,95,62.1,126.7,26.11,3.31
Pangkalanbuun,37,ID,1601721179,90,-2.68,111.62,78.01,3.38
Merauke,100,ID,1601721112,79,-8.47,140.33,79.66,14.83
Kutno,16,PL,1601721165,70,52.23,19.36,71.01,8.01
Inuvik,90,CA,1601721246,87,68.35,-133.72,42.8,6.93
Saldanha,0,ZA,1601721247,52,-33.01,17.94,68.0,4.7
Ghansor,100,IN,1601721247,43,22.65,79.95,89.6,11.41
Westport,1,US,1601721025,87,41.14,-73.36,50.0,6.93
Tel Aviv-Yafo,20,IL,1601721153,48,32.08,34.78,84.99,5.82
Ardabil,20,IR,1601721143,72,38.25,48.29,64.4,24.16
Pūrna,40,IN,1601721249,49,19.18,77.05,91.4,2.24
Province of Mantua,97,IT,1601721249,76,45.17,10.78,64.0,3.0
Jinchang,10,CN,1601721249,35,38.5,102.17,53.19,9.1
Iglesias,40,IT,1601721232,56,39.31,8.54,71.6,14.99
Oussouye,75,SN,1601721251,84,12.48,-16.55,86.0,4.7
Manokwari,84,ID,1601720959,74,-0.87,134.08,82.44,2.24
College,75,US,1601721045,65,64.86,-147.8,53.6,3.36
Heihe,75,CN,1601721251,100,50.24,127.49,48.2,6.71
Flin Flon,52,CA,1601721251,98,54.77,-101.86,31.68,1.99
San Pedro de Macorís,40,DO,1601721252,100,18.46,-69.3,75.0,4.7
Hwange,0,ZW,1601721171,20,-18.37,26.5,97.59,12.64
Muyezerskiy,68,RU,1601721252,76,63.93,31.65,52.54,7.9
Pangai,100,TO,1601721252,83,-19.8,-174.35,76.82,23.26
Muriwai Beach,0,NZ,1601721253,91,-36.82,174.45,53.01,2.24
Athabasca,17,CA,1601721253,82,54.72,-113.29,43.36,1.95
Abu Dhabi,0,AE,1601721254,56,24.47,54.37,96.8,10.29
Tatarsk,45,RU,1601720926,51,55.22,75.98,61.05,14.05
Kahului,75,US,1601721254,74,20.89,-156.47,80.6,3.36
Baie-Comeau,1,CA,1601721254,93,49.22,-68.15,41.0,4.7
Nizhnevartovsk,75,RU,1601721255,87,60.93,76.55,46.4,11.18
Portland,90,US,1601721255,93,45.52,-122.68,59.0,4.7
Warrenton,0,ZA,1601721212,14,-28.11,24.85,77.27,12.01
Sungai Penuh,87,ID,1601720958,87,-2.08,101.38,71.73,2.04
Umm Hājar,100,TD,1601721256,40,13.3,19.7,93.36,5.53
Lorengau,62,PG,1601721067,81,-2.02,147.27,81.93,11.79
Pingliang,99,CN,1601721242,42,35.54,106.69,56.39,3.74
Miraflores,90,MX,1601721256,66,19.22,-98.81,53.6,6.93
Itupiranga,38,BR,1601721257,94,-5.13,-49.33,77.0,4.7
Shelburne,75,CA,1601721049,100,44.08,-80.2,37.99,5.97
Morondava,94,MG,1601721254,55,-20.28,44.28,84.42,12.37
Anzhero-Sudzhensk,89,RU,1601721248,62,56.08,86.03,53.6,17.9
Blairmore,47,CA,1601721257,100,49.6,-114.44,35.6,8.05
Mokhsogollokh,88,RU,1601721258,92,61.47,128.92,31.48,3.2
Lázaro Cárdenas,38,MX,1601721258,60,17.96,-102.2,74.1,7.16
Al Bardīyah,0,LY,1601721258,33,31.76,25.09,89.08,6.13
Beyneu,0,KZ,1601721233,18,45.32,55.2,72.7,6.49
Steamboat Springs,1,US,1601721258,55,40.48,-106.83,43.0,3.78
Kavieng,63,PG,1601721115,73,-2.57,150.8,83.16,10.33
Nouadhibou,0,MR,1601721237,69,20.93,-17.03,73.4,26.4
Keti Bandar,9,PK,1601721259,69,24.14,67.45,86.63,15.23
Esim,100,GH,1601721094,77,4.87,-2.24,79.5,6.31
Shimsk,94,RU,1601721260,66,58.21,30.71,57.29,8.75
Lernakert,20,AM,1601721261,32,40.56,43.94,68.0,1.12
Calvinia,40,ZA,1601721261,39,-31.47,19.78,62.08,2.42
Atasū,3,KZ,1601721261,37,48.68,71.64,58.53,7.52
Behshahr,20,IR,1601721143,37,36.69,53.55,82.4,6.93
Sept-Îles,20,CA,1601721255,100,50.2,-66.38,43.0,4.7
Kaeo,10,NZ,1601721262,88,-35.1,173.78,51.01,2.01
Druzhba,32,UA,1601721263,41,52.04,33.95,68.41,16.11
Matagami,90,CA,1601721263,100,49.75,-77.63,30.2,3.67
Chirilagua,100,SV,1601721263,100,13.22,-88.14,71.35,2.35
Batagay-Alyta,100,RU,1601721090,80,67.8,130.41,29.39,17.02
Ambanja,20,MG,1601721254,54,-13.68,48.45,87.8,6.93
Kiryat Gat,0,IL,1601721153,61,31.61,34.76,84.99,15.17
Lékoni,22,GA,1601721103,55,-1.58,14.26,86.32,6.62
Nichinan,40,JP,1601721167,78,31.6,131.37,75.2,3.36
Lompoc,1,US,1601721264,76,34.64,-120.46,68.0,4.81
Gillette,75,US,1601720990,56,44.29,-105.5,42.8,3.36
Yanam,90,IN,1601721265,88,16.73,82.22,82.4,11.41
Surgut,75,RU,1601721227,100,61.25,73.42,39.2,15.66
Masuda,75,JP,1601721114,94,34.67,131.85,69.8,1.14
Newport,100,GB,1601721266,95,51.59,-3.0,55.99,3.0
Anchorage,75,US,1601721266,76,61.22,-149.9,55.4,6.8
Balad,17,IQ,1601721153,10,34.02,44.15,104.31,13.87
Dongsheng,0,CN,1601721267,62,39.82,109.98,38.17,21.65
Chastyye,42,RU,1601721267,59,57.29,54.97,54.66,10.69
North Platte,1,US,1601721267,86,41.12,-100.77,44.01,4.7
Tuatapere,100,NZ,1601720957,93,-46.13,167.68,55.0,8.01
Buala,4,SB,1601721268,79,-8.14,159.59,80.33,5.91
Tahoua,19,NE,1601721246,58,14.89,5.27,87.8,9.17
Vestmannaeyjar,40,IS,1601721268,86,63.44,-20.27,39.2,13.87
Vardø,75,NO,1601721092,93,70.37,31.11,48.2,12.75
Tezu,8,IN,1601721269,77,27.92,96.17,81.91,0.58
Dayong,0,CN,1601721269,69,25.02,118.29,82.4,6.71
Alexander City,1,US,1601721269,87,32.94,-85.95,48.2,3.36
Tela,79,HN,1601721269,98,15.78,-87.45,75.0,9.13
Yeppoon,6,AU,1601721269,64,-23.13,150.73,71.6,10.29
Belmonte,20,BR,1601721270,78,-15.86,-38.88,75.2,5.82
Rameshki,71,RU,1601721270,55,57.34,36.05,63.37,8.77
Pimentel,62,PE,1601721254,93,-6.84,-79.93,60.48,7.99
Bogashevo,96,RU,1601721270,62,56.37,85.14,53.6,17.9
Hibbing,90,US,1601721271,95,47.43,-92.94,32.0,2.64
Klaksvík,99,FO,1601721039,87,62.23,-6.59,50.0,17.22
Dāmghān,5,IR,1601721143,18,36.17,54.35,82.2,11.14
Port-Gentil,75,GA,1601721247,74,-0.72,8.78,84.2,11.41
Yārāda,75,IN,1601721271,79,17.65,83.27,86.0,9.17
Burley,1,US,1601721272,70,42.54,-113.79,46.4,0.45
Kununurra,91,AU,1601720957,48,-15.77,128.73,87.8,8.05
Chicama,80,PE,1601721272,85,-7.84,-79.15,62.13,3.74
Golspie,100,GB,1601721272,95,57.97,-3.98,48.0,1.01
Chara,82,RU,1601721230,91,56.91,118.26,31.14,3.29
Fukuechō,75,JP,1601721239,94,32.69,128.84,71.6,3.36
Bathsheba,20,BB,1601721273,88,13.22,-59.52,75.2,4.7
Fonte Boa,17,BR,1601721273,98,-2.5,-66.27,73.24,2.95
Tautira,20,PF,1601721274,83,-17.73,-149.15,75.2,4.7
Saint Anthony,75,US,1601721069,69,45.02,-93.22,41.0,3.36
Gavrilovka Vtoraya,90,RU,1601721274,35,52.88,42.77,67.15,7.76
Zhalantun,44,CN,1601721275,72,48.0,122.72,42.21,8.32
Antalaha,42,MG,1601721101,65,-14.9,50.28,78.87,10.45
Malabo,75,GQ,1601721276,74,3.75,8.78,86.0,2.24
Amalāpuram,90,IN,1601721276,88,16.58,82.02,82.4,11.41
Arāria,83,IN,1601721276,68,26.15,87.52,89.13,3.11
San Vicente,38,AR,1601721276,75,-26.62,-54.13,70.18,4.88
Yizheng,59,CN,1601721277,52,24.67,103.43,75.0,5.19
Olafsvik,98,IS,1601721218,72,64.89,-23.71,40.39,9.1
Kalianget,84,ID,1601721252,70,-7.05,113.93,83.5,11.5
Keta,20,GH,1601721278,62,5.92,0.99,86.0,9.17
Kidal,27,ML,1601721108,29,18.44,1.41,95.32,8.34
Sarakhs,0,IR,1601721234,13,36.54,61.16,84.2,6.49
Chikitigarh,74,IN,1601721278,82,19.2,84.62,84.85,2.06
Bonthe,98,SL,1601721279,72,7.53,-12.51,83.8,3.91
Puerto Limón,93,CR,1601721279,81,10.0,-83.03,78.22,6.15
Harper,86,LR,1601721158,84,4.38,-7.72,79.95,10.76
Chitral,3,PK,1601721279,21,35.85,71.79,72.95,8.19
Itainópolis,34,BR,1601721280,53,-7.45,-41.48,79.74,10.09
Brasília,2,BR,1601720983,59,-15.78,-47.93,64.4,2.24
Palmer,75,US,1601721219,100,42.16,-72.33,42.01,3.36
Nanzhang,100,CN,1601721281,84,31.78,111.84,55.83,7.63
Auki,12,SB,1601721281,84,-8.77,160.7,77.88,5.57
Aberfeldy,100,GB,1601721261,95,56.62,-3.86,46.99,3.67
Napkor,95,HU,1601721282,47,47.94,21.87,77.0,16.11
Broken Hill,60,AU,1601721282,24,-31.95,141.43,78.8,9.17
Henties Bay,3,NA,1601721283,86,-22.12,14.28,55.0,7.0
Yokadouma,96,CM,1601721283,68,3.52,15.05,83.82,1.74
Adré,0,TD,1601721283,37,13.47,22.2,90.27,6.38
Mumbai,75,IN,1601721056,79,19.01,72.85,87.8,11.41
Bandrele,24,YT,1601721284,66,-12.91,45.19,86.0,6.93
Araguaína,96,BR,1601721284,42,-7.19,-48.21,86.58,6.4
